"Date";"Comp1";"Comp2"
38349;94,5;105,5
38350;93,5;104,5
38351;93,25;104,5
38355;95;105
38356;97;106,5
38357;97,25;104,5
38359;97,75;106
38362;101;108
38363;100;105
38364;98,25;104
38365;98,5;103,5
38366;97,75;104,5
38369;99,25;105,5
38370;100,5;103,5
38371;99,75;102,5
38372;100,5;99,25
38373;99,5;97,75
38376;98,5;97,25
38377;101;98
38378;101,5;99,5
38379;102;105,5
38380;100,5;105,5
38383;100,5;107
38384;102;108
38385;103,5;109
38386;102,5;109
38387;102,5;110
38390;103,5;110
38391;103;111,5
38392;103,5;111
38393;103;111
38394;101;112
38397;101;112
38398;99,5;112
38399;98,25;110,5
38400;99;109,5
38401;96,75;110
38404;97,25;109,5
38405;97;111,5
38406;95,25;109,5
38407;96;109,5
38408;97,25;112
38411;97;111
38412;96,5;111,5
38413;96;111,5
38414;96,5;110
38415;96,75;110,5
38418;96,5;110,5
38419;95,25;111
38420;97,5;111
38421;97,75;110
38422;97,5;110
38425;95,5;111
38426;97,25;111,5
38427;96,75;110
38428;97;111,5
38429;97,75;111
38432;98,25;110
38433;97,5;110
38434;97,5;109
38435;97,75;107
38440;98;108,5
38441;98;109
38442;96;109,5
38443;97,25;111
38446;98,25;108,5
38447;101;109
38448;101;109
38449;102;111
38450;100,5;109,5
38453;101,5;109
38454;101,5;107,5
38455;101;108
38456;100,5;108
38457;100,5;105
38460;98,5;104
38461;99,75;106
38462;100;108
38463;99;113,5
38464;98,5;115
38467;100;115,5
38468;97;114
38469;95,5;112,5
38470;96,25;113,5
38471;96,25;113,5
38474;96,75;115
38475;96,5;114,5
38476;97;116
38478;96;121
38481;94,25;122,5
38482;93,75;121,5
38483;93,5;120,5
38484;94,75;122,5
38485;96,5;124,5
38488;95,25;125,5
38489;94,25;125
38490;96,5;127,5
38491;99,5;127,5
38492;97,5;127
38495;96,75;127
38496;98,25;127,5
38497;100,5;124,5
38498;98,75;126
38499;100;125,5
38502;99,75;126
38503;99;125
38504;100;127,5
38505;100,5;128
38506;100,5;128
38510;100,5;128
38511;101;128
38512;101;126,5
38513;103,5;128,5
38516;104;130
38517;105;131
38518;106;130,5
38519;104;131,5
38520;107;129,5
38523;104;129,5
38524;107;131,5
38525;106,5;133,5
38526;105,5;134,5
38530;102,5;131
38531;104;131
38532;104;133
38533;104,5;131
38534;105;132
38537;106,5;131,5
38538;107;132
38539;108;132,5
38540;106,5;130,5
38541;106,5;134
38544;107,5;137,5
38545;106,5;135,5
38546;109;137,5
38547;110,5;139
38548;111,5;138,5
38551;111,5;139
38552;114;141
38553;112,5;138,5
38554;116,5;124,5
38555;116;121,5
38558;116;119,5
38559;114,5;121,5
38560;113,5;123,5
38561;114;124,5
38562;112,5;123,5
38565;113;122
38566;113;123,5
38567;111,5;123,5
38568;111;122
38569;110;121
38572;108,5;122
38573;109,5;124,5
38574;109,5;125,5
38575;108,5;122,5
38576;109;122,5
38579;109,5;121,5
38580;110,5;121
38581;112,5;120
38582;112;120,5
38583;110;121
38586;112;121
38587;110;119,5
38588;106;119,5
38589;104,5;118
38590;104;117
38593;106;118
38594;106,5;118
38595;107,5;118,5
38596;108,5;118,5
38597;108,5;117,5
38600;109;119
38601;109,5;120
38602;112;120
38603;110;120
38604;113;122
38607;112,5;121,5
38608;114;126,5
38609;114;127
38610;112;127,5
38611;112;126,5
38614;115;126
38615;114,5;127
38616;112;125
38617;112;125,5
38618;112;126
38621;111,5;128
38622;113;127,5
38623;115;127,5
38624;115;126,5
38625;117;129,5
38628;117,5;132,5
38629;118,5;133
38630;116;132
38631;114;130
38632;113,5;128,5
38635;115;129,5
38636;115,5;131,5
38637;114,5;131
38638;114;131
38639;114;132
38642;113,5;133
38643;113;133,5
38644;112;133
38645;112;126
38646;111,5;127
38649;111,5;128,5
38650;112,5;128,5
38651;113;128
38652;112,5;127
38653;111;127
38656;112;132
38657;111;135,5
38658;112,5;136
38659;113,5;139
38660;85;138,5
38663;85,75;139
38664;86,25;138
38665;85,5;138,5
38666;85;138,5
38667;85;140,5
38670;83,75;141,5
38671;82,5;140,5
38672;82,75;139
38673;83,5;141
38674;83,25;141,5
38677;82,75;141,5
38678;82,5;140,5
38679;81,75;140,5
38680;81,5;140
38681;81,75;140,5
38684;81,25;139
38685;80,75;139,5
38686;79,75;138
38687;80;139
38688;82,25;139
38691;81,5;140,5
38692;81,75;140,5
38693;80,75;142,5
38694;81;146
38695;81,5;143
38698;81,5;144
38699;81,5;145,5
38700;81,5;145,5
38701;81,5;144,5
38702;83,25;146,5
38705;81,5;147,5
38706;81,75;146
38707;82,75;145,5
38708;83;147
38709;83,25;148,5
38713;84;149
38714;85;146,5
38715;86,5;147
38716;86,5;144,5
38719;85,75;146,5
38720;86,5;145
38721;87;147,5
38722;85,75;148,5
38726;83;150,5
38727;82,25;149
38728;82;146,5
38729;82,75;145,5
38730;82,5;144,5
38733;84,25;145
38734;84,75;143,5
38735;84,75;142
38736;85,75;143,5
38737;84,5;140
38740;85,75;138,5
38741;85;138
38742;85,5;140,5
38743;90,75;138
38744;88,5;138,5
38747;89,5;138
38748;89;139
38749;88,75;141
38750;90;141
38751;91,25;140
38754;90,5;139,5
38755;86,5;137,5
38756;83;139
38757;82,25;140,5
38758;83;139,5
38761;84,5;140
38762;84,25;143,5
38763;84;146
38764;84,25;149
38765;83,75;148
38768;83;147,5
38769;81,5;148
38770;81,25;148,5
38771;79,75;149,5
38772;82;149,5
38775;83,75;149,5
38776;81,5;148,5
38777;83;149
38778;79;150,5
38779;81,25;149
38782;82,5;150
38783;82,5;152,5
38784;82,75;155
38785;82,75;157,5
38786;81,5;157,5
38789;82,5;159
38790;82,5;159,5
38791;84;158,5
38792;83,5;158,5
38793;84,75;157,5
38796;85,25;159
38797;85,5;160
38798;88,5;158,5
38799;89,25;159
38800;89,75;158,5
38803;90,25;159
38804;93;157,5
38805;92,75;157
38806;92,25;165
38807;93,5;161
38810;109,5;161,5
38811;110;158,5
38812;112;159,5
38813;112,5;159,5
38814;112,5;159,5
38817;113;158,5
38818;113;164
38819;112;162,5
38820;110,5;162,5
38825;111;161,5
38826;111;162,5
38827;112;170,5
38828;112;174
38831;111,5;171
38832;111;170,5
38833;110,5;172
38834;111;171
38835;110,5;168
38839;110;169
38840;109;167,5
38841;109;168
38842;109;167,5
38845;108;168,5
38846;108,5;168,5
38847;104,5;166,5
38848;107,5;161
38849;107;156,5
38852;110;159
38853;110;160,5
38854;110;156
38855;109,5;153
38856;110;154
38859;110;149,5
38860;111,5;156,5
38861;112;153,5
38863;113,5;159,5
38866;113,5;159
38867;110,5;154
38868;113;154,5
38869;113;158,5
